judul,judul_id,Pasal,Content,Content_id,,,,,
PERMEN BUMN No 311 Tahun 2018,2031118,PASAL 5,Peraturan Me nteri ini mulai berlaku pada tanggal  diundangkan.,203111800005,,,,,
PERMEN BUMN No 413 Tahun 2014,2041314,PASAL 1,"Pedoman pelaksanaan pengadaan Calon Pegawai Negeri Sipil Kementerian BUMN, yang selanjutnya disebut dengan pengadaan CPNS, ditetapkan sebagaimana dalam lampiran I sampai dengan lampiran VII yang merupakan bagian yang tidak terpisahkan dari Peraturan Menteri ini.",204131400001,,,,,
PERMEN BUMN No 413 Tahun 2014,2041314,PASAL 2,Pelaksanaan pengadaan CPNS oleh Pejabat Pembina Kepegawaian (PPK) dan pejabat lain yang secara fungsional bertanggung jawab di bidang kepegawaian berpedoman pada Peraturan Menteri ini sepanjang tidak diatur lain dalam peraturan perundang-undangan yang dikeluarkan oleh instansi pemerintah terkait.,204131400002,,,,,
PERMEN BUMN No 413 Tahun 2014,2041314,PASAL 3,Perubahan terhadap pedoman pelaksanaan pengadaan CPNS sebagaimana terdapat dalam lampiran Peraturan Menteri ini ditetapkan oleh Sekretaris Kementerian BUMN.,204131400003,,,,,
PERMEN BUMN No 413 Tahun 2014,2041314,PASAL 4,"Peraturan Menteri ini mulai berlaku pada tanggal diundangkan.2014, No.413 4",204131400004,,,,,
PERMEN BUMN No 414 Tahun 2014,2041414,PASAL 1,"Program Pengendalian Gratifikasi pada Kementerian BUMN sebagaimana  diatur dalam Lampiran yang merupakan bagian yang tidak terpisahkan  dari Peraturan Menteri ini, harus dilaksanakan oleh seluruh aparatur di  lingkungan Kementerian BUMN serta pihak-pihak yang diperbantukan  atau ditugaskan pada Kementerian BUMN.",204141400001,,,,,
PERMEN BUMN No 414 Tahun 2014,2041414,PASAL 2,Program Pengendalian Gratifikasi di lingkungan Kementerian BUMN  disusun sebagai salah satu upaya peningkatan integritas aparatur  Kementerian BUMN melalui penyeragaman pemahaman dan pelaksanaan  terhadap hal-hal yang berkaitan dengan gratifikasi di lingkungan  Kementerian BUMN.,204141400002,,,,,
PERMEN BUMN No 414 Tahun 2014,2041414,PASAL 3,"(1) Dengan Peraturan Menteri ini, Menteri BUMN menetapkan Inspektorat  Kementerian BUMN bertindak sebagai Unit Pengendali Gratifikasi  Kementerian BUMN.  (2) Unit Pengendali Gratifikasi Kementerian BUMN sebagaimana  dimaksud pada ayat (1), memiliki tugas dan wewenang untuk  melakukan analisis dan pemrosesan terhadap setiap laporan  gratifikasi di lingkungan Kementerian BUMN sebagai bentuk  pengendalian gratifikasi di lingkungan Kementerian BUMN.",204141400003,,,,,
PERMEN BUMN No 414 Tahun 2014,2041414,PASAL 4,Pasal4   Pelanggaran terhadap Peraturan Menteri ini akan dikenai sanksi sesuai  dengan ketentuan peraturan perundang undangan.,204141400004,,,,,
PERMEN BUMN No 414 Tahun 2014,2041414,PASAL 5,Peraturan Menteri ini mulai berlaku pada tanggal diundangkan.,204141400005,,,,,
