judul,BAB,Pasal,Content
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 5,"(1)Segala peraturan pelaksanaan Peraturan Pemerintah Nomor 12 Tahun  1998 tentang Perusahaan Perseroan (PERSERO) sebagaimana telah  diubah dengan Peraturan Pemerintah Nomor 45 Ta hun 2001  sepanjang tidak bertentangan atau belum diubah sesuai dengan  Peraturan Pemerintah ini, dinyatakan tetap berlaku.   (2)Segala ketentuan pelaksanaan Peraturan Pemerintah Nomor 64 Tahun  2001 tentang Pengalihan Kedudukan, Tugas dan Kewenangan Menteri  Keuangan pada Perusahaan Perseroan (PERSERO), Perusahaan Umum  (PERUM) dan Perusahaan Jawatan (PERJAN) kepada Menteri Negara  Badan Usaha Milik Negara, tetap berlaku sepanjang belum diatur  berdasarkan Peraturan Pemerintah ini."
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 6,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan.
PP_No_4_Tahun_2003_cleaned.txt,BAB I: PENAMBAHAN PENYERTAAN MODAL,PASAL 1,Negara Republik Indonesia melakukan penambahan penyertaan modal ke dalam  modal saham Perusahaan Perseroan (PERSERO)  PT Jaminan Sosial Tenaga  Kerja yang didirikan berdasarkan Peraturan Pemerintah Nomor 19 Tahun 1990.
PP_No_4_Tahun_2003_cleaned.txt,BAB I: PENAMBAHAN PENYERTAAN MODAL,PASAL 2,"(1) Penambahan penyertaan modal Negara sebagaimana dimaksud dalam  Pasal 1 berasal dari kapitalisasi sebagian cadangan umum Perusahaan  sampai dengan tahun 2001.   (2) Nilai    penambahan   penyertaan   modal   Negara   sebagaimana    dimaksud   dalam   ayat   (1)    sebesar Rp 75.000.000.000,00 (tujuh puluh  lima miliar rupiah)."
PP_No_4_Tahun_2003_cleaned.txt,BAB I: PENAMBAHAN PENYERTAAN MODAL,PASAL 3,"Dengan adanya penambahan penyertaan modal Negara sebagaimana dimaksud  dalam Pasal 2 ayat (1), maka seluruh penyertaan modal Negara ke dalam modal  saham Perusahaan Perseroan (PERSER O) PT Jaminan Sosial Tenaga Kerja  meningkat menjadi Rp125.000.000.000,00 (seratus dua puluh lima miliar  rupiah).     BAB   II : PELAKSANAAN PENAMBAHAN PENYERTAAN MODAL"
PP_No_4_Tahun_2003_cleaned.txt,BAB II: PELAKSANAAN PENAMBAHAN PENYERTAAN MODAL,PASAL 4,"Pelaksanaan penambahan penyertaan modal Negara Republik Indonesia ke  dalam modal sa ham Perusahaan Perseroan (PERSERO) PT Jaminan Sosial  Tenaga Kerja sebagaimana dimaksud dalam Pasal 1, dilakukan menurut  ketentuan Undang -undang Nomor 1 Tahun 1995 tentang Perseroan Terbatas  dengan memperhatikan ketentuan -ketentuan yang tercantum dalam Pera turan  Pemerintah Nomor 12 Tahun 1998 sebagaimana telah diubah dengan Peraturan  Pemerintah Nomor 45 Tahun 2001 dan Peraturan Pemerintah Nomor 64 Tahun  2001 serta peraturan perundang -undangan lainnya yang berlaku.    BAB   III : KETENTUAN PENUTUP"
PP_No_4_Tahun_2003_cleaned.txt,BAB III: KETENTUAN PENUTUP,PASAL 5,"Ketentuan lebih lanjut yang diperlukan bagi pelaksanaan Peraturan Pemerintah  ini diatur oleh Menteri Keuangan dan Menteri Negara Badan Usaha Milik  Negara, baik bersama -sama maupun sendiri -sendiri sesuai dengan lingkup  bidang tugas dan kewenangan masing -masing."
PP_No_4_Tahun_2003_cleaned.txt,BAB III: KETENTUAN PENUTUP,PASAL 6,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan.
PP_No_64_Tahun_2023_cleaned.txt,UNKNOWN,PASAL 1,Negara Republik Indonesia melakukan penambahan penyertaan modal negara ke dalam modal Perusahaan Umum (Perum) l€mbaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia yang didirikan berdasarkan Peraturan Pemerintah Nomor 77 Tahun 2Ol2tentang Perusahaan Umum (Perum) Iembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia.
PP_No_64_Tahun_2023_cleaned.txt,UNKNOWN,PASAL 2,"(1) Nilai penambahan penyertaan modal negara ss$agaimana dimaksud dalam Pasal 1 sebesar Rp892. O09.99 6. 47 1,7 7 (delapan ratus sembilan puluh dua miliar sembilan juta sembilan ratus sembilan puluh enam ribu empat ratus tujuh puluh satu rupiah tujuh puluh tujuh sen). l2l Penambahan penyertaan modal negara sebagaimana dimaksud pada ayat (1) berasal dari pengalihan Barang Milik Negara pada Kementerian Perhubungan dengan rincian sebagaimana tercantum dalam Lampiran yang merupakan bagran tidak terpisahkan dari Peraturan Pemerintah ini."
PP_No_64_Tahun_2023_cleaned.txt,UNKNOWN,PASAL 3,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan. SK No 167384AAgarFRESIDEN REPUELIK INDONESIA 5-
